card,url,xlsx_category
shot-0270,https://tedthomas.com/is-oregon-a-tax-lien-state/,"404"
shot-0271,https://tedthomas.com/is-owner-financing-land-a-good-idea/,"404"
shot-0272,https://tedthomas.com/is-social-security-going-broke/,"404"
shot-0273,https://tedthomas.com/is-south-carolina-a-tax-deed-state/,"404"
shot-0275,https://tedthomas.com/land-for-sale-at-auction/,"404"
shot-0276,https://tedthomas.com/land-tax-sale/,"404"
shot-0277,https://tedthomas.com/learn-how-to-buy-a-house-at-an-auction/,"404"
shot-0278,https://tedthomas.com/learn-how-to-find-properties-with-unpaid-taxes/,"404"
shot-0279,https://tedthomas.com/lease-option-real-estate-investing/,"404"
shot-0284,https://tedthomas.com/meet-ted-thomas/,"404"
shot-0287,https://tedthomas.com/need-a-home-consider-home-sale-tax-deed-auction/,"404"
shot-0288,https://tedthomas.com/new-bill-in-indiana-legislature-indiana-tax-sale/,"404"
shot-0290,https://tedthomas.com/no-cash-down-real-estate-investing/,"404"
shot-0298,https://tedthomas.com/podcasts/,"404"
shot-0300,https://tedthomas.com/podcasts/chris-prefontaine/,"404"
shot-0304,https://tedthomas.com/purchase-tax-liens-online/,"404"
shot-0306,https://tedthomas.com/purchasing-tax-liens-online-x/,"404"
shot-0308,https://tedthomas.com/quiet-title-vs-quit-claim-deed-part-2/,"404"
shot-0310,https://tedthomas.com/residential-real-estate-investing-strategy/,"404"
shot-0322,https://tedthomas.com/should-i-invest-in-rental-property/,"404"
shot-0323,https://tedthomas.com/tag/adams-county/,"404"
shot-0324,https://tedthomas.com/tag/arizona/,"404"
shot-0325,https://tedthomas.com/tag/auction-rules/,"404"
shot-0326,https://tedthomas.com/tag/bid-down/,"404"
shot-0327,https://tedthomas.com/tag/buildable-residential-lots/,"404"
shot-0328,https://tedthomas.com/tag/california/,"404"
shot-0329,https://tedthomas.com/tag/chicago/,"404"
shot-0330,https://tedthomas.com/tag/closing/,"404"
shot-0331,https://tedthomas.com/tag/contract-for-deed/,"404"
shot-0332,https://tedthomas.com/tag/contract-for-sale/,"404"
shot-0333,https://tedthomas.com/tag/contract-to-sale/,"404"
shot-0334,https://tedthomas.com/tag/counties/,"404"
shot-0335,https://tedthomas.com/tag/credit-rating/,"404"
shot-0336,https://tedthomas.com/tag/deed-of-trust/,"404"
shot-0337,https://tedthomas.com/tag/dekalb-county/,"404"
shot-0338,https://tedthomas.com/tag/delinquent-period/,"404"
shot-0339,https://tedthomas.com/tag/dupage-county/,"404"
shot-0340,https://tedthomas.com/tag/encumbrance/,"404"
shot-0341,https://tedthomas.com/tag/encumbrances/,"404"
shot-0342,https://tedthomas.com/tag/foreclosure/,"404"
shot-0343,https://tedthomas.com/tag/georgia/,"404"
shot-0344,https://tedthomas.com/tag/illinois/,"404"
shot-0345,https://tedthomas.com/tag/inflation-hedge/,"404"
shot-0346,https://tedthomas.com/tag/installment-payments/,"404"
shot-0347,https://tedthomas.com/tag/installment-plan/,"404"
shot-0348,https://tedthomas.com/tag/junior-lien/,"404"
shot-0349,https://tedthomas.com/tag/knox-county/,"404"
shot-0350,https://tedthomas.com/tag/lien/,"404"
shot-0351,https://tedthomas.com/tag/miami-dade-county/,"404"
shot-0352,https://tedthomas.com/tag/multnomah-county/,"404"
shot-0353,https://tedthomas.com/tag/municipalities/,"404"
shot-0354,https://tedthomas.com/tag/online-auction/,"404"
shot-0355,https://tedthomas.com/tag/owner-financing/,"404"
shot-0356,https://tedthomas.com/tag/public-notice-illinois/,"404"
shot-0357,https://tedthomas.com/tag/quitclaim-deed/,"404"
shot-0358,https://tedthomas.com/tag/redeemable-tax-deeds/,"404"
shot-0359,https://tedthomas.com/tag/redemption-period/,"404"
shot-0360,https://tedthomas.com/tag/research/,"404"
shot-0361,https://tedthomas.com/tag/residential-lots/,"404"
shot-0362,https://tedthomas.com/tag/reverse-auction/,"404"
shot-0364,https://tedthomas.com/tag/san-luis-obispo-county/,"404"
shot-0363,https://tedthomas.com/tag/sangamon-county/,"404"
shot-0365,https://tedthomas.com/tag/senior-lien/,"404"
shot-0366,https://tedthomas.com/tag/tax-sale-list/,"404"
shot-0367,https://tedthomas.com/tag/texas/,"404"
shot-0368,https://tedthomas.com/tag/trust-deed/,"404"
shot-0370,https://tedthomas.com/tax-deed-auction/,"404"
shot-0374,https://tedthomas.com/tax-deed-sales-in-washington-state/,"404"
shot-0375,https://tedthomas.com/tax-deed-vs-tax-lien/,"404"
shot-0376,https://tedthomas.com/tax-defaulted-homes/,"404"
shot-0377,https://tedthomas.com/tax-defaulted-properties-certified-coaches/,"404"
shot-0378,https://tedthomas.com/tax-defaulted-property-investing-7-things-to-know/,"404"
shot-0379,https://tedthomas.com/tax-delinquent-list/,"404"
shot-0381,https://tedthomas.com/tax-delinquent-real-estate-investment-strategy/,"404"
shot-0384,https://tedthomas.com/tax-lien-certificate-auction/,"404"
shot-0387,https://tedthomas.com/tax-lien-certificates-for-dummies/,"404"
shot-0388,https://tedthomas.com/tax-lien-investing-in-florida/,"404"
shot-0390,https://tedthomas.com/tax-lien-sales-in-texas/,"404"
shot-0392,https://tedthomas.com/tax-sale-overages/,"404"
shot-0393,https://tedthomas.com/tax-sales-near-me/,"404"
shot-0394,https://tedthomas.com/ted-thomas-customer-support/,"404"
shot-0396,https://tedthomas.com/terms-conditions/,"404"
shot-0398,https://tedthomas.com/texas-tax-lien-sales-plus-free-gift-for-you/,"404"
shot-0407,https://tedthomas.com/understanding-what-is-a-tax-lien-certificate/,"404"
shot-0420,https://tedthomas.com/what-are-the-11-biggest-risks-in-tax-lien-investing/,"404"
shot-0422,https://tedthomas.com/what-are-the-best-alternative-investments/,"404"
shot-0423,https://tedthomas.com/what-business-can-i-start-from-home/,"404"
shot-0424,https://tedthomas.com/what-does-assessed-value-mean/,"404"
shot-0425,https://tedthomas.com/what-does-foreclosure-mean-in-real-estate/,"404"
shot-0428,https://tedthomas.com/what-is-a-fair-interest-rate-for-seller-financing/,"404"
shot-0429,https://tedthomas.com/what-is-a-quitclaim-deed/,"404"
shot-0434,https://tedthomas.com/what-is-a-tax-certificate-sale/,"404"
shot-0435,https://tedthomas.com/what-is-a-tax-deed-sale/,"404"
shot-0436,https://tedthomas.com/what-is-a-tax-lien/,"404"
shot-0442,https://tedthomas.com/what-is-the-best-work-from-home-business/,"404"
shot-0447,https://tedthomas.com/where-should-i-invest-my-money/,"404"
